GEOID,District
40019426001000,2
40019426001001,2
40019426001002,2
40019426001003,2
40019426001004,2
40019426001005,2
40019426001006,2
40019426001007,2
40019426001008,2
40019426001009,2
40019426001010,2
40019426001011,2
40019426001012,2
40019426001013,2
40019426001014,2
40019426001015,2
40019426001016,2
40019426001017,2
40019426001018,2
40019426001019,2
40019426001020,2
40019426001021,2
40019426001022,2
40019426001023,2
40019426001024,2
40019426001025,2
40019426001026,2
40019426001027,2
40019426001028,2
40019426001029,2
40019426001030,2
40019426001031,2
40019426001032,2
40019426001033,2
40019426001034,2
40019426001035,2
40019426001036,2
40019426001037,2
40019426001038,2
40019426001039,2
40019426001040,2
40019426001041,2
40019426001042,2
40019426001043,2
40019426001044,2
40019426001045,2
40019426001046,2
40019426001047,2
40019426001048,2
40019426001049,2
40019426001050,2
40019426001051,2
40019426001052,2
40019426001053,2
40019426001054,2
40019426001055,2
40019426001056,2
40019426001057,2
40019426001058,2
40019426001059,2
40019426001060,2
40019426001061,2
40019426001062,2
40019426001063,2
40019426001064,2
40019426001065,2
40019426001066,2
40019426001067,2
40019426001068,2
40019426001069,2
40019426001070,2
40019426001071,2
40019426001072,2
40019426001073,2
40019426001074,2
40019426001075,2
40019426001076,2
40019426001077,2
40019426001078,2
40019426001079,2
40019426001080,2
40019426001081,2
40019426001082,2
40019426001083,2
40019426001084,2
40019426001085,2
40019426001086,2
40019426001087,2
40019426001088,2
40019426001089,2
40019426001090,2
40019426001091,2
40019426001092,2
40019426001093,2
40019426001094,2
40019426001095,2
40019426001096,2
40019426001097,2
40019426001098,2
40019426001099,2
40019426001100,2
40019426001101,2
40019426001102,2
40019426001103,2
40019426001104,2
40019426001105,2
40019426001106,2
40019426001107,2
40019426001108,2
40019426001109,2
40019426001110,2
40019426001111,2
40019426001112,2
40019426001113,2
40019426001114,2
40019426001115,2
40019426001116,2
40019426001117,2
40019426001118,2
40019426001119,2
40019426001120,2
40019426001121,2
40019426001122,2
40019426001123,2
40019426001124,2
40019426001125,2
40019426001126,2
40019426001127,2
40019426001128,2
40019426001129,2
40019426001130,2
40019426001131,2
40019426001132,2
40019426001133,2
40019426001134,2
40019426001135,2
40019426001136,2
40019426001137,2
40019426001138,2
40019426001139,2
40019426001140,2
40019426001141,2
40019426001142,2
40019426001143,2
40019426001144,2
40019426001145,2
40019426001146,2
