GEOID,Total,NH_White,Hispanic,NH_Black,NH_Native_Amer,NH_Asian,NH_Pacitic,NH_Other,Minority_total
1001020100,1775,1376,76,213,5,8,0,6,399
1001020200,2055,834,43,1098,2,12,1,5,1221
1001020300,3216,2220,100,714,7,14,5,14,996
1001020400,4246,3522,158,320,17,32,1,5,724
1001020501,4322,3211,156,628,23,93,2,5,1111
1001020502,3284,1851,165,887,12,207,3,32,1433
1001020503,3616,2487,139,698,4,120,2,15,1129
1001020600,3729,2464,305,775,5,16,1,16,1265
1001020700,3409,2299,123,777,4,20,4,18,1110
1001020801,3143,2643,58,295,15,8,1,0,500
1001020803,4635,3482,150,749,21,14,0,9,1153
1001020804,6064,3994,261,1137,22,295,1,38,2070
1001020805,3122,2627,84,259,6,7,0,3,495
1001020901,3268,2847,81,176,9,9,0,1,421
1001020902,3091,2336,99,539,13,9,0,4,755
1001021000,2645,1983,38,507,6,0,0,6,662
1001021100,3185,1406,81,1580,13,9,1,8,1779
1003010100,3745,2956,27,524,99,3,4,5,789
1003010200,3000,2489,57,220,61,7,0,6,511
1003010300,8380,6293,191,1347,73,40,0,27,2087
1003010400,5722,4845,122,360,59,20,0,17,877
1003010500,4850,3709,110,662,81,40,0,15,1141
1003010600,3234,1189,73,1811,17,3,0,8,2045
1003010704,5307,4387,235,344,28,37,1,7,920
1003010706,4038,3446,124,181,13,83,0,13,592
1003010707,4994,4389,200,123,24,56,2,15,605
1003010708,11585,9069,527,980,47,322,14,51,2516
1003010709,11650,9676,487,722,34,150,9,27,1974
1003010710,6156,4590,303,812,28,107,12,25,1566
1003010711,4230,3242,234,445,20,40,3,16,988
1003010800,7807,5651,284,1455,13,72,0,40,2156
1003010903,6599,4867,395,902,34,58,1,20,1732
1003010904,7747,6666,362,142,81,27,4,30,1081
1003010906,4754,3831,418,246,26,20,3,1,923
1003010907,4081,3275,441,109,20,33,3,15,806
1003010908,5979,4507,629,441,28,62,0,28,1472
1003011000,5459,4408,490,262,29,12,3,5,1051
1003011102,5684,4791,320,205,13,54,13,14,893
1003011103,3523,3073,188,89,12,30,0,9,450
1003011104,7875,6786,393,326,25,66,3,9,1089
1003011201,4895,4413,177,98,5,44,4,3,482
1003011202,6773,5226,183,1044,19,40,10,18,1547
1003011300,5170,4530,190,192,15,7,2,9,640
1003011409,5915,4318,492,790,33,28,1,15,1597
1003011410,7483,6186,634,191,45,32,5,41,1297
1003011411,5666,4261,923,130,29,54,2,18,1405
1003011412,4041,3366,248,140,18,30,2,34,675
1003011413,3982,3473,164,66,10,65,1,15,509
1003011414,3461,3235,47,12,18,15,0,11,226
1003011415,2019,1902,40,0,4,10,1,2,117
1003011416,1714,1584,29,6,16,6,2,7,130
1003011417,2525,2270,98,20,9,18,0,7,255
1003011418,1773,1586,48,29,12,8,1,14,187
1003011419,5154,4608,154,83,15,45,0,29,546
1003011501,7216,5566,593,560,30,37,5,35,1650
1003011503,7482,5356,693,906,37,97,1,37,2126
1003011504,6431,4403,851,806,36,79,1,32,2028
1003011601,7517,6540,365,92,42,34,6,33,977
1003011603,3298,2897,74,113,21,21,1,1,401
1003011604,2853,2640,73,15,12,17,2,11,213
1003990000,0,0,0,0,0,0,0,0,0
1005950100,3126,1447,189,1381,6,15,0,17,1679
1005950200,3363,1109,57,2145,2,2,0,5,2254
1005950300,1370,588,36,711,7,2,0,0,782
1005950400,3998,1823,567,1517,6,21,0,8,2175
1005950500,3105,2146,75,732,16,17,0,6,959
1005950600,1858,947,82,773,0,16,0,3,911
1005950700,1590,613,105,828,4,0,0,7,977
1005950800,2175,1018,51,1041,2,9,0,8,1157
1005950900,4638,1395,348,2722,15,21,0,9,3243
1007010001,2634,2195,113,226,4,3,4,5,439
1007010005,4204,3587,194,280,3,12,3,10,617
1007010006,1728,1559,43,30,6,1,1,11,169
1007010007,2376,2008,53,254,8,0,1,4,368
1007010008,2770,2143,108,405,11,2,0,8,627
1007010009,2475,1035,137,1241,0,0,0,0,1440
1007010010,2853,1910,48,815,3,7,0,4,943
1007010011,3253,2005,44,1139,4,1,0,5,1248
1009050103,1749,1352,326,15,2,5,1,2,397
1009050104,2036,1722,164,19,6,7,0,11,314
1009050105,5525,4207,814,233,10,46,1,8,1318
1009050106,3023,1957,752,196,5,14,0,8,1066
1009050107,2975,2483,390,7,3,2,0,0,492
1009050200,3879,2885,840,23,14,16,0,7,994
1009050301,2880,2384,396,8,18,4,1,3,496
1009050302,2509,2022,389,15,15,1,0,1,487
1009050400,4550,3996,288,12,12,6,3,3,554
1009050501,4272,3425,658,19,21,25,0,6,847
1009050502,3196,2811,133,26,13,4,0,14,385
1009050601,4166,3867,55,38,17,6,0,6,299
1009050603,4007,3757,60,16,5,0,0,3,250
1009050604,5323,4848,80,116,25,9,2,11,475
1009050701,5834,5183,268,56,12,14,1,12,651
1009050702,3210,2865,158,27,10,15,2,5,345
1011952100,1272,85,11,1155,0,1,0,9,1187
1011952201,2423,303,258,1811,0,1,0,1,2120
1011952202,4341,868,209,3201,1,7,3,9,3473
1011952500,2321,1025,25,1221,0,0,4,12,1296
1013952700,2515,1084,37,1276,3,51,0,9,1431
1013952800,1411,863,56,438,2,13,2,1,548
1013952900,1959,824,31,1005,0,59,0,0,1135
1013953000,1230,709,9,480,1,0,0,4,521
1013953100,2526,511,35,1890,0,0,0,3,2015
1013953200,3987,2301,46,1506,11,15,2,12,1686
1013953300,1712,1430,18,202,2,2,0,10,282
1013953400,2392,962,24,1338,4,0,0,1,1430
1013953500,1319,995,4,254,0,3,1,6,324
1015000200,2929,1019,176,1574,7,31,0,16,1910
1015000300,2314,400,55,1748,5,1,3,11,1914
1015000400,2423,797,71,1464,24,6,0,7,1626
1015000500,1097,93,16,952,6,4,1,6,1004
1015000600,1780,431,29,1264,6,4,0,0,1349
1015000700,2952,1182,140,1454,3,37,3,9,1770
1015000800,1752,942,96,647,8,4,0,18,810
1015000900,3417,2412,241,637,8,32,0,2,1005
1015001000,5718,3503,337,1450,19,185,16,17,2215
1015001101,1772,1310,150,204,0,48,1,2,462
1015001102,1442,672,148,501,5,30,0,11,770
1015001103,3663,2498,267,617,5,68,1,21,1165
1015001201,3361,1917,241,1028,12,28,4,6,1444
1015001202,4304,2901,588,585,10,32,1,12,1403
1015001300,2006,1711,87,71,11,2,0,7,295
1015001400,3160,2342,88,573,10,5,0,6,818
1015001501,3421,2681,245,367,10,9,2,9,740
1015001502,1724,1393,76,175,9,5,0,1,331
1015001600,3513,2421,190,640,14,16,4,16,1092
1015001700,6023,3801,223,1619,13,66,7,13,2222
1015001801,2440,1959,101,221,22,23,0,1,481
1015001802,4371,3307,166,568,22,44,19,16,1064
1015002001,2739,2357,136,126,9,8,4,4,382
1015002002,4763,4087,167,275,19,40,0,3,676
1015002101,5300,1604,151,3185,10,237,1,12,3696
1015002102,3243,2527,114,369,10,32,9,10,716
1015002104,3914,2615,134,864,3,52,4,21,1299
1015002105,2887,1815,107,758,6,22,5,13,1072
1015002200,3625,3252,70,166,19,17,2,4,373
1015002300,3717,2985,112,400,13,4,3,11,732
