map_id,eps,L,number_of_majority_minority_dists_needed,#iterations,#iterations_no_improvement,percentage_depreciation_in_compactness,time_vickrey,time_VRA,time_compactness,time_uncoarsening,time_cmpttveness,total_time,n_restarts,opt_effgap,passymetry_opt,max_margin,#competitive,majmin,compactness,pop_bal*P_bar
0,0.01,1,2,10000,500,0.3,1.425366879,10.32254696,115.8343959,134.393276,170.071152,432.0467377,1,-0.035408868,0.010827496,0.168628845,6,2,5705.640558,7933.330005
0,0.01,1,2,10000,500,0.1,3.267430782,185.6651571,123.4142661,146.5551181,98.99544597,557.897418,3,0.199821878,0.025233465,0.2883543,3,2,4696.968598,7467.663534
0,0.01,1,2,10000,500,0.2,1.468144894,6.970570087,230.6607528,272.6228509,133.17067,644.8929887,1,-0.052928061,0.032108451,0.24950081,4,2,4574.648964,7374.33024
0,0.01,1,2,10000,500,0,3.250090837,139.9467831,294.1053057,697.3794549,64.33297467,1199.014609,3,0.086304219,0.049502685,0.347857145,2,2,3829.823936,7407.330226
1,0.01,1,2,10000,500,0.3,4.316602945,65.87350607,103.6929679,314.5917521,188.6666329,677.1414618,2,0.09449115,0.014017588,0.153509305,5,2,6134.612592,7909.663349
1,0.01,1,2,10000,500,0.2,1.261951923,108.277281,207.855351,412.6987538,79.33793306,809.4312708,1,-0.147071145,0.021158953,0.22945925,4,2,5298.983782,7766.330075
1,0.01,1,2,10000,500,0.1,5.089262962,7.878057957,115.2320609,137.2171328,115.3756309,380.7921455,1,0.058307071,0.023361718,0.275565436,5,2,5105.889553,7515.663514
1,0.01,1,2,10000,500,0,4.73985815,60.85692215,161.608577,173.8783491,89.51636291,490.6000693,1,-0.00941293,0.030399624,0.34968781,1,2,4723.567656,7340.663587
2,0.01,1,2,10000,500,0.1,0.290327072,213.3455241,81.68902707,327.3646519,159.0536041,781.7431343,6,-0.034221626,0.017309428,0.20677757,3,2,5320.135353,6670.663868
2,0.01,1,2,10000,500,0.3,2.774623632,12.42004514,207.305922,350.2989089,122.9324558,695.7319555,1,-0.151629463,0.021250888,0.233144891,6,2,5017.049416,7696.663438
2,0.01,1,2,10000,500,0.2,0.860722065,2587.112223,299.4883101,220.5365272,93.51930714,3201.51709,5,0.086673644,0.027591241,0.265443989,4,2,4294.459426,7849.663374
2,0.01,1,2,10000,500,0,4.689525843,358.3759329,140.206461,430.1192131,51.23272014,984.623853,7,0.196419653,0.037693691,0.273634512,2,2,4108.155313,7091.330359
3,0.01,1,2,10000,500,0.2,0.92442894,6.831192017,211.4261901,179.4151609,159.094902,557.691874,1,0.084326745,0.013441145,0.223042738,5,2,5624.915062,7860.663369
3,0.01,1,2,10000,500,0.3,2.562544823,99.49739289,160.8338811,115.7985559,245.632009,624.3243837,1,0.108477531,0.022224563,0.261437307,5,2,5593.197373,7753.663414
3,0.01,1,2,10000,500,0.1,2.135052681,329.9506278,358.4800479,191.6462269,159.6613061,1041.873261,5,0.076169096,0.010897508,0.204951235,3,2,4388.372871,7632.330132
3,0.01,1,2,10000,500,0,0.837763071,3.28017807,242.3147969,324.2910221,64.51460123,635.2383614,1,0.056352611,0.043009746,0.421363622,2,2,3944.716581,7049.330376
4,0.01,1,2,10000,500,0.3,0.647690058,27.32852197,145.4193389,247.1698308,199.3364191,619.9018009,1,0.080305213,0.026087333,0.303273978,6,2,5278.54688,7247.663626
4,0.01,1,2,10000,500,0.2,3.753789902,322.2253828,137.897342,45.6540699,193.1240089,702.6545935,5,0.065478811,0.013528776,0.284479605,7,2,5258.521546,7783.663401
4,0.01,1,2,10000,500,0,1.5674119,12437.59427,118.0632718,158.8593221,39.35207701,12755.43635,5,0.080792188,0.045722066,0.370065332,2,2,4715.594702,6783.330488
4,0.01,1,2,10000,500,0.1,0.910340786,342.948406,166.9366198,136.0915382,117.1106029,763.9975076,6,-0.066594827,0.022371105,0.212504068,4,2,4338.535482,7739.66342
5,0.01,1,2,10000,500,0.3,4.664487123,29.00898314,223.725086,307.3888741,134.9479432,699.7353735,1,0.174793145,0.014720989,0.145240329,7,2,4935.211841,6963.330412
5,0.01,1,2,10000,500,0.2,5.784985065,6.04664588,417.2618821,199.3925891,186.983897,815.4699991,1,0.06322767,0.018301331,0.190070298,3,2,4822.473988,5550.664338
5,0.01,1,2,10000,500,0,3.41784811,93.86875391,122.8507273,161.1131468,30.91230106,412.1627772,2,0.077352382,0.041165886,0.416109578,4,2,4716.410575,5850.330879
5,0.01,1,2,10000,500,0.1,6.853543997,262.175776,181.0637267,94.77100492,74.97519898,619.8392506,1,0.073200482,0.029742845,0.217452027,2,2,4670.504843,7462.330203
6,0.01,1,2,10000,500,0.3,2.497735977,138.3150909,109.6120441,471.0146811,110.334501,831.7740531,1,0.067306693,0.024392755,0.255438166,5,2,5724.548851,7753.330081
6,0.01,1,2,10000,500,0.2,1.767513275,137.0062962,267.8135769,298.7935002,177.766021,883.1469076,1,0.07865885,0.011047238,0.135314228,6,2,4620.383591,7737.330088
6,0.01,1,2,10000,500,0.1,1.330960989,1.893739939,196.0773661,113.8877239,716.1831768,1029.372968,1,-0.16003883,0.018786948,0.2673381,4,2,4354.24857,7787.6634
6,0.01,1,2,10000,500,0,2.224225998,366.9984591,141.0836821,180.861197,121.8877039,813.055268,6,0.094068994,0.03553909,0.2515052,0,2,3796.804159,7787.6634
7,0.01,1,2,10000,500,0.3,1.909993887,88.78443789,245.6939492,77.68253088,111.931921,526.0028329,2,0.207364221,0.018728798,0.18883556,5,2,5645.193294,7853.663372
7,0.01,1,2,10000,500,0,0.841596842,6.967979193,157.1494851,124.4388061,596.0766947,885.4745619,1,0.103454355,0.033064537,0.299116169,2,2,5170.272308,7859.330036
7,0.01,1,2,10000,500,0.1,2.064841986,438.880203,259.1700521,206.777858,88.78893518,995.6818902,5,-0.075077674,0.010940831,0.234969496,5,2,5096.977927,7518.330179
7,0.01,1,2,10000,500,0.2,7.263192177,13.49116588,183.621618,256.0458708,262.619494,723.0413408,1,0.06844036,0.0108925,0.141701645,5,2,4740.104224,7826.663383
8,0.01,1,2,10000,500,0.3,1.0753088,2.28797698,100.1747272,188.863672,108.2676539,400.6693389,1,-0.043742721,0.011797597,0.166823216,5,2,5832.494544,7465.330202
8,0.01,1,2,10000,500,0.2,2.513750076,8.830961943,105.3507109,146.5677247,214.2869899,477.5501375,1,0.063446649,0.010811413,0.12182258,4,2,4681.810454,5732.664262
8,0.01,1,2,10000,500,0,2.058367968,1.931151867,192.5600638,209.2157576,33.29816127,439.0635026,1,0.089589375,0.038116305,0.260215524,0,2,4198.185184,5198.331153
8,0.01,1,2,10000,500,0.1,1.752497911,63.60533595,61.08340406,339.139596,86.83798003,552.4188139,2,-0.155615216,0.027914057,0.217733573,5,2,4145.196992,7918.663345
9,0.01,1,2,10000,500,0.3,2.420669317,796.45806,61.64510226,270.9687879,211.3046257,1342.797245,5,-0.047431093,0.029965946,0.204430827,5,2,5171.85173,7192.663649
9,0.01,1,2,10000,500,0.2,4.612301111,108.2936811,60.80407906,277.5376818,129.2402742,580.4880173,3,-0.057083941,0.02421054,0.209006953,5,2,5061.657036,7576.663488
9,0.01,1,2,10000,500,0.1,0.257503033,5.619685888,117.566117,226.612587,80.22910118,430.2849941,1,-0.074016172,0.022288079,0.21188136,4,2,4242.485604,6180.330741
9,0.01,1,2,10000,500,0,1.489882946,98.1142199,174.6908381,328.7582569,48.86773992,651.9209378,2,0.109424185,0.027325305,0.260495851,2,2,3988.014993,7739.330087
10,0.01,1,2,10000,500,0.3,2.05583787,282.1677561,183.9037237,149.4930232,88.5326252,706.152966,2,0.091754186,0.028106191,0.237405458,4,2,5325.336119,6556.663916
10,0.01,1,2,10000,500,0.2,3.219270945,2.740500927,188.7641549,193.4230158,246.123373,634.2703156,1,0.082571856,0.01873192,0.245170423,4,2,5013.265891,7501.66352
10,0.01,1,2,10000,500,0.1,2.697376013,18.02962804,222.381602,345.5724151,112.8916922,701.5727134,1,-0.027330838,0.018200208,0.171430673,6,2,4833.868296,7815.663388
10,0.01,1,2,10000,500,0,1.222523928,7.9325912,194.5254641,756.9532738,34.10965919,994.7435122,1,0.08539421,0.023007077,0.302667835,1,2,3614.528872,6381.66399
11,0.01,1,2,10000,500,0.2,2.295117617,234.5395648,141.0106819,78.38748693,149.2137699,605.4466212,5,-0.024221875,0.02711704,0.199394778,3,2,5823.077679,7600.663478
11,0.01,1,2,10000,500,0.3,1.625042915,153.9637861,96.36915684,262.4202802,120.5000648,634.8783309,5,-0.019716621,0.027702188,0.26489819,4,2,5117.168277,7767.663408
11,0.01,1,2,10000,500,0.1,2.636761904,3.248215675,162.5258021,124.5919831,190.0266421,483.0294049,1,0.168349261,0.02791747,0.266771584,5,2,4006.513522,7571.330157
11,0.01,1,2,10000,500,0,14.15543795,544.4665711,166.9540699,423.787426,66.13069487,1215.4942,5,-0.051575101,0.028201844,0.332434969,1,2,3750.375274,7734.330089
12,0.01,1,2,10000,500,0.2,2.945634842,16.35861301,328.3413148,294.199204,105.2726021,747.1173687,1,0.107323496,0.024097351,0.278440293,3,2,4845.730629,7889.663357
12,0.01,1,2,10000,500,0.1,2.979576826,14852.4139,658.0084569,399.3069258,133.6016431,16046.3105,1,-0.035311059,0.029311582,0.306569855,3,2,4262.13008,7828.330049
12,0.01,1,2,10000,500,0,13.209512,24.64755201,165.7344201,100.3461623,97.38794494,401.3255913,1,-0.056948924,0.034136608,0.367472704,3,2,4101.663402,7574.663489
12,0.01,1,2,10000,500,0.3,3.67908597,4.709393978,199.595521,334.6834769,98.71425605,641.3817339,1,0.160980348,0.027765061,0.333106796,4,2,4094.882451,7648.663458
13,0.01,1,2,10000,500,0.2,0.36209321,1051.328283,110.6685588,371.7193201,156.914634,1690.992889,5,0.099923418,0.015127656,0.240797835,7,2,4849.100261,7902.330018
13,0.01,1,2,10000,500,0.3,11.9961679,9.834179163,246.5801928,288.4308231,262.5841212,819.4254842,1,0.08268526,0.020206864,0.181353268,6,2,4764.755373,7747.663417
13,0.01,1,2,10000,500,0.1,0.544557095,8.366811037,351.8058791,67.96441007,129.9486318,558.6302891,1,0.073370192,0.028036205,0.224963714,4,2,4650.447162,7350.663583
13,0.01,1,2,10000,500,0,6.423569918,2.630930901,272.7520971,284.9424078,108.2325699,674.9815757,1,-0.058971408,0.043858636,0.43190082,3,2,3887.509264,7849.663374
14,0.01,1,2,10000,500,0.3,9.351087093,1408.733987,116.509469,441.0683899,255.8711901,2231.534123,5,0.086099575,0.019290983,0.210200119,5,2,5924.645632,7668.330117
14,0.01,1,2,10000,500,0.2,1.692824841,15.12086296,185.6209168,128.250828,117.0021849,447.6876175,1,0.085925656,0.015498195,0.268757936,5,2,4856.97617,7331.330258
14,0.01,1,2,10000,500,0.1,1.423238039,4.59267211,441.161031,378.3350861,68.405123,893.9171503,1,0.20735548,0.035170255,0.250127739,3,2,4736.392568,6514.330601
14,0.01,1,2,10000,500,0,1.031606197,237.9658408,201.8807921,250.2527051,32.01897073,723.149915,5,0.074966444,0.040563898,0.419926886,2,2,3846.174179,6464.330622
15,0.01,1,2,10000,500,0.3,0.597882032,13.40763903,106.925355,321.466449,303.660306,746.057631,1,0.167569317,0.006648799,0.144922297,6,2,5351.279941,7750.663415
15,0.01,1,2,10000,500,0.1,3.258530855,9.487333775,113.687393,705.6953831,167.3421938,999.4708345,1,0.03607784,0.018300171,0.253998606,6,2,5023.457774,7340.663587
15,0.01,1,2,10000,500,0.2,13.39642406,55.68089485,116.613729,250.9036632,97.17222214,533.7669332,1,0.215752383,0.059682479,0.299862964,2,2,4450.380051,7540.663503
15,0.01,1,2,10000,500,0,1.872346163,199.7805359,161.7665868,173.1907752,30.17051196,566.780756,5,0.085526862,0.018461558,0.319930648,3,2,4161.874222,7870.330032
16,0.01,1,2,10000,500,0.2,0.565927029,0.680176258,78.68147206,164.0480399,143.7359722,387.7115874,1,-0.022677965,0.025195095,0.21316482,3,2,5134.067344,7338.330255
16,0.01,1,2,10000,500,0.3,2.575948,21.36291003,181.7385168,439.8086021,146.2800219,791.7659988,1,0.195853984,0.046048227,0.333731466,4,2,4992.757733,7596.330147
16,0.01,1,2,10000,500,0.1,4.838332891,86.12667608,351.4983931,293.7034421,83.27854609,819.4453902,2,-0.032267457,0.022392604,0.248638139,5,2,4663.878519,7492.33019
16,0.01,1,2,10000,500,0,2.996428967,180.3055198,98.54045987,426.4401569,37.50635481,745.7889204,2,0.081374678,0.040798418,0.248017895,2,2,4382.762602,7916.330012
17,0.01,1,2,10000,500,0.3,12.62298298,0.285926819,134.3352511,436.278671,74.68020296,658.2030349,1,0.064740261,0.013164437,0.14401264,5,2,5392.247258,6487.663945
17,0.01,1,2,10000,500,0.1,1.90503788,15.32659101,48.61198997,162.1488602,126.2981913,354.2906704,1,0.103038524,0.017848109,0.232324135,3,2,5135.885685,5649.664297
17,0.01,1,2,10000,500,0.2,3.322613001,105.9836853,148.2671778,244.1502259,458.15294,959.876642,2,0.042263784,0.019994179,0.221429882,6,2,4841.37239,7873.330031
17,0.01,1,2,10000,500,0,5.018373013,1.957055807,166.4964831,152.073261,32.38216996,357.9273429,1,-0.019070531,0.035514601,0.275576986,1,2,4678.014803,6691.330526
