GEOID,district
40138121003006,1
40138121001023,1
40138121001020,1
40138121001022,1
40138121001024,1
40138121001014,1
40138121001000,1
40138153002030,1
40138124005000,1
40130610582056,5
40130610582034,5
40137233071001,5
40130610582055,5
40131167323008,5
40131167323006,5
40131167323007,5
40130101023054,8
40130101023055,8
40130101023034,8
40130101023047,8
40130101023052,8
40130101023095,8
40130101023048,8
40132168401011,6
40132168401014,6
40132168401006,6
40132168401015,6
40132168401005,6
40132168401012,6
40130506113000,5
40130506115023,5
40130506142029,5
40130506115024,5
40130506142032,5
40130506142035,5
40130506142033,5
40130506115009,5
40130506115017,5
40134225123008,3
40134225123013,3
40134225123011,3
40134225123007,3
40134225123017,3
40134225123015,3
40134225123000,3
40134226563002,3
40134226563012,3
40138146001000,3
40138146001007,3
40134225123018,3
40134225123014,3
40136127001000,6
40136127001001,6
40136127001002,6
40136127002002,6
40136127002004,6
40131032062009,6
40131032062005,6
40131032062007,6
40131032062003,6
40130506121017,9
40130506121023,5
40130506121021,9
40130506121018,5
40130506121037,5
40130506121027,9
40130715041003,7
40130715041005,7
40130715041002,7
40130715041001,7
40130715041006,7
40130715041004,7
40130715041007,7
40130405152010,2
40130405152022,2
40130405152246,2
40130405152245,2
40130405152247,2
40130405152016,2
40130405152012,2
40130405152021,2
40130610151009,9
40130610151006,9
40130610151000,9
40131042022004,7
40131042022005,7
40131042264018,7
40131042022003,7
40131042022008,7
40131042022006,7
40131086023001,9
40131086023007,9
40131086024008,9
40131086023008,9
40131086023006,9
40131045011000,6
40131046003017,6
40131045011001,6
40131046003016,6
40131046003015,6
40131046003014,6
40131046003018,6
40131053002004,6
40131046003024,6
40136124022013,7
40136124022014,7
40136124022018,7
40134207092030,3
40134207092014,3
40134207092031,3
40134207092013,3
40134207092012,3
40134207092015,3
40134207092024,3
40134207092025,3
40134207092026,3
40134207092027,3
40134207092028,3
40134207092029,3
40138162003008,1
40138162003001,1
40138162003000,1
40138162003003,1
40138162003009,1
40138162003005,1
40134201121000,3
40134201101043,3
40134201101033,3
40134201101032,3
40134201122015,3
40134201122025,3
40134201121009,3
40134201121008,3
40134201121005,3
40134201121002,3
40134201121003,3
40134201121004,3
40134201121001,3
40134201101044,3
40131043012016,6
40131043012015,6
40131043012014,6
40131037023000,6
40131037023002,6
40131037023003,6
40138160012017,1
40138160012022,1
40138160012008,1
40138160012024,1
40134225141000,3
40134225141004,3
40134226362006,3
40134225071000,3
40138115001012,3
40138115001029,3
40138115001028,3
40138115001027,3
40138115001011,3
40138115001031,3
40138115001030,3
40134207092033,3
40134207092032,3
40134207093000,3
40134207092034,3
40135229012011,3
40135229012012,3
40135229012013,3
40138169042038,1
40138169042022,1
40138169042020,1
40138169042040,1
40136136022017,7
40136136022014,7
40136136022012,7
40131042142016,7
40131042141006,7
40131042142013,7
40131042142015,7
40131042142017,7
40131042141014,7
40132168562017,6
40132168562013,6
40132168562010,6
40132168562011,6
40132168562018,6
40132168562014,6
40131104003000,9
40131104003009,9
40131104002004,9
40131104002005,9
40131104003019,9
40131104003020,9
40131104003008,9
40132168561017,6
40132168561010,6
40132168561014,6
40132168561016,6
40131117004012,9
40131117004013,9
40131117004000,9
40131117004014,9
40131117004017,9
40131117004018,9
40131048022014,6
40131048022007,6
40131048021009,6
40131048022013,6
40131048022011,6
40136195001003,6
40136195001005,6
40136195001008,6
40132168322008,6
40132168322001,6
40132168322010,6
40132168322009,6
40132168322000,6
40132168333011,6
40132168322012,6
40132168322007,6
40131032161008,6
40131032161006,6
40131032161007,6
40131032161009,6
40131033024009,6
40131033024010,6
40131033024005,6
40131033024000,6
40131033024003,6
40131033024011,6
40131035012014,6
40131035012013,6
40130101032089,6
40130101032087,6
40130101032088,6
40130101032036,6
40130101032035,6
40130101032090,6
40130101032097,6
40131059001000,9
40131056012017,9
40131056012018,6
40131060011003,9
40131060011004,9
40131059001001,9
40136105002025,7
40136105002014,7
40136105002015,7
40136105002016,7
40136106001000,7
40131118004001,9
40131118004002,9
40131118004003,9
40131118004005,9
40210021051012,1
40210021051015,1
40210021051016,1
40210021051018,1
40210021051014,1
40210021041037,1
40210021041038,1
40210021041027,1
40210021041036,1
40210021041021,1
40134203031027,6
40134203031006,6
40134203031007,6
40134203031002,6
40134203031000,6
40134203031009,6
40131104004010,9
40131104004003,9
40131104004009,9
40131104004011,9
40131170001004,9
40131125182042,5
40131125182043,5
40131125182040,5
40131125182048,5
40131125182047,5
40131125182044,5
40138155012024,1
40138155012016,1
40138155012012,1
40138155012022,1
40138155012025,1
40138155012021,1
40134202131065,3
40134202131066,3
40134202131000,3
40134202142007,3
40134202142008,3
40134202142009,3
40134202131002,3
40138124004016,1
40138124004000,1
40138124002005,1
40138124004003,1
40138124004001,1
40130610411010,7
40130610411011,7
40130610411000,7
40130610411009,7
40130610411001,7
40130822063002,5
40130822063003,5
40130822063001,5
40130822063004,5
40130822063008,5
40131044011027,6
40131044011013,6
40131044011026,6
40131044011029,6
40131044011028,6
40131050032041,6
40131050032007,6
40131050032040,6
40131114022017,9
40131114022021,9
40131114022016,9
40131114022022,9
40131136013002,9
40131114022020,9
40134226092010,3
40134226092006,3
40134226092008,3
40134226092000,3
40134226091015,3
40134226091016,3
40134226091026,3
40134226092015,3
40134226092011,3
40131161003004,5
40131161003005,5
40131161003006,5
40131161003008,5
40131161003010,5
40134225013000,3
40134225013010,3
40134225014002,3
40134225013011,3
40134225013004,3
40134225033009,3
40134225033010,3
40134225033000,3
40134225033007,3
40130609013024,7
40130609013004,7
40130609013005,7
40130609013003,7
40132168221013,6
40132168221031,6
40132168221006,6
40136166001002,7
40136166001003,7
40136166001001,7
40136166001007,7
40136166003013,7
40136166003007,7
40136166003008,7
40136166003014,7
40131032062024,6
40131032062021,6
40131032062025,6
40131032062023,6
40131042172002,7
40131042172004,7
40131042172003,7
40131042172012,7
40131042172011,7
40131042172005,7
40130715132002,7
40130715132003,7
40130715132000,7
40130715132001,7
40130715132004,7
40130715131012,7
40138125001008,1
40138125001020,1
40138125001011,1
40138125001022,1
40138125001023,1
40138125001013,1
40138125001019,1
40138125001024,1
40138125001015,1
40138128012004,1
40138124005014,1
40131042212011,7
40131042244003,7
40131042212003,7
40131042212013,7
40131042212012,7
40131139001025,9
40131139001021,9
40131139001020,9
40131139001022,9
40131139001023,9
40131139001024,9
40131172001001,9
40131144011040,5
40131144011041,5
40131144011033,5
40131144011042,5
40131144011038,5
40131144011037,5
40131144011039,5
40131144011036,5
40131091012010,9
40131091012007,5
40131091012012,9
40131091012011,9
40131091022003,9
40131091012009,9
40131157004000,5
40131157004003,5
40131158021001,5
40131157004004,5
40131157004002,5
40134209012008,6
40134209012009,6
40134209012000,6
40134209011002,3
40134209011003,3
40134209011004,3
40134209011008,3
40134209011009,3
40134209011007,3
40134209011010,3
40134209012015,6
40134209012014,6
40134209012013,6
40131098023000,9
40131098023001,9
40131098022006,9
40131099003007,9
40131099003009,9
40131098023005,9
40131098023003,9
40136106002000,7
40136106002004,7
40136106002001,7
40136106002002,7
40136106002005,7
40136106002006,7
40132168062000,6
40132168062007,6
40132168062003,6
40132168061012,6
40132168061011,6
40132168061000,6
40132168061007,6
40132168062001,6
40132168061018,6
40132168062009,6
40132168062002,6
40132168062010,6
40132168062008,6
40210015003012,1
40210015003013,1
40210015003035,1
40210015002003,1
40210015003011,1
40210014031016,1
40210014032013,1
40210014031020,1
40210014032011,1
40210014032032,1
40210014032014,1
40210008082041,1
40210008022029,1
40210008022026,1
40210008081025,1
40210008081031,1
40210008081026,1
40210008081024,1
40210020011067,1
40210020011068,1
40210020011003,1
40210020011069,1
40210020011074,1
40210020011073,1
40210020011079,1
40210020011075,1
40210008042048,1
40210008041002,1
40210008042069,1
40210008042070,1
40210008041001,1
40210008041005,1
40210008041003,1
40210016003068,2
40210016003022,2
40210016003069,2
40210016003075,2
40210016004037,2
40210016003067,2
40210016003061,2
40210023001116,1
40210023001117,1
40210023001127,1
40219412004026,1
40219412004027,1
40219412004028,1
40210002123016,1
40210002123006,1
40210002123011,1
40210002123025,1
40210002123003,1
40210017162018,2
40210017071015,2
40210017162017,2
40210017162019,2
40210017141027,2
40210006032010,1
40210006032018,1
40210003102068,1
40210003153005,1
40210003153004,1
40210003153006,1
40210017122015,2
40210017122031,2
40210017122044,2
40210017122024,2
40210007001036,8
40210007002005,8
40210007002004,8
40210007002003,8
40210007002012,8
40210007002008,8
40210007002007,8
40210007002006,8
40210020013035,1
40210020013039,1
40210020013034,1
40210020013038,1
40210011004066,1
40210011004069,1
40210011004067,1
40210011004053,1
40210011004064,1
40210011004065,1
40210014071001,1
40210014071010,1
40210014071000,1
40210014071041,1
40210016004222,2
40210016004215,2
40210016004223,2
40210016004228,2
40210016004221,2
40210009041053,1
40210009041046,1
40210009041052,1
40210009041071,1
40210009041054,1
40210008071000,1
40210008071002,1
40210008071003,1
40210021041003,1
40210021041004,1
40210021041023,1
40210021041005,1
40210021051000,1
40050022011128,8
40050022011114,8
40050022011127,8
40050022011109,8
40250018041001,8
40250018031000,8
40050022011129,8
40050023022122,8
40050023022166,8
40050023022032,8
40050023022042,8
40050023022165,8
40050008005001,8
40050006022003,8
40050006022002,8
40050006022001,8
40050006022008,8
40050006022007,8
40050006022006,8
40050006022016,8
40050006022004,8
40050008005002,8
40050015002080,8
40050015003326,8
