0,1,2,3,4
1,40130506121017,5,9,395.0
2,40130506121021,5,9,395.0
3,40130506121018,5,9,395.0
4,40130506121027,5,9,395.0
6,40131056012017,6,9,395.0
8,40131060011003,6,9,395.0
14,40133199081023,5,3,395.0
15,40138105001000,5,3,395.0
17,40130610433024,7,9,395.0
18,40130610433025,7,9,395.0
19,40130610433030,7,9,395.0
20,40136108002049,8,7,395.0
21,40130506162000,5,2,395.0
22,40131169001017,5,9,395.0
23,40131169001018,5,9,395.0
24,40131169001016,5,9,395.0
25,40210021071005,2,1,395.0
26,40131036051012,7,6,395.0
27,40130610533002,9,5,395.0
28,40210014063001,1,2,395.0
29,40134204024003,6,3,395.0
30,40134204024004,6,3,395.0
31,40138154011009,1,3,395.0
32,40134210021001,3,6,395.0
33,40159514012001,8,2,395.0
34,40159514012022,8,2,395.0
36,40159548024516,2,8,395.0
37,40190045122019,2,4,395.0
43,40190054003000,2,4,384.0
44,40190043272000,2,4,384.0
45,40159505002185,8,2,384.0
46,40159505002186,8,2,384.0
47,40190043171019,4,2,384.0
50,40130822111011,9,5,384.0
53,40134201163025,3,1,384.0
54,40130610572007,5,9,384.0
55,40130506123013,9,5,384.0
56,40130506194033,9,5,384.0
57,40130506194034,9,5,384.0
58,40130506194007,9,5,384.0
59,40130506194013,9,5,384.0
60,40136169003000,6,7,384.0
62,40130820102000,9,5,384.0
63,40130820101013,9,5,384.0
65,40138106001018,3,5,384.0
66,40131168004000,5,9,384.0
67,40133187001001,3,9,384.0
68,40133187001000,3,9,384.0
69,40133187001002,3,9,384.0
71,40130927202014,5,9,384.0
72,40130820083001,9,5,384.0
73,40130820083002,9,5,384.0
74,40130405411000,2,8,380.0
75,40130405411003,2,8,368.0
76,40131169001000,5,9,368.0
77,40131169001001,5,9,368.0
78,40138116003004,5,3,368.0
79,40138116002011,5,3,368.0
80,40130405411005,2,8,361.0
81,40131162041000,5,3,361.0
84,40138154011004,1,3,361.0
85,40138155012019,1,3,361.0
86,40131042061013,6,9,361.0
87,40130506203024,2,7,361.0
88,40136105003000,7,8,361.0
91,40130927161013,5,9,361.0
92,40130506123054,9,5,361.0
94,40210014064013,2,1,361.0
95,40210014064022,2,1,361.0
96,40210014064012,2,1,361.0
97,40210014064014,2,1,361.0
98,40130927203009,9,7,361.0
99,40130506193053,9,5,361.0
101,40136125002004,6,8,361.0
102,40199800021025,4,2,361.0
104,40190054003007,2,4,361.0
106,40159548021335,2,8,361.0
111,40134205042019,6,3,361.0
112,40131152003000,5,9,361.0
113,40131152001013,9,5,361.0
114,40136107001055,8,7,361.0
115,40130927161000,5,9,361.0
116,40131123021009,5,9,361.0
117,40210016001037,2,1,361.0
118,40219413001000,5,1,361.0
119,40219413001005,5,1,361.0
121,40130405393027,8,2,361.0
122,40138148012022,3,1,361.0
123,40130820162031,9,5,361.0
124,40131111001027,9,6,361.0
125,40131111001028,9,6,358.0
127,40136124022021,7,6,358.0
128,40210021061057,2,1,358.0
129,40210021061055,2,1,358.0
130,40210021061054,2,1,358.0
131,40210021061058,2,1,358.0
133,40131111001006,9,6,357.0
134,40134210021002,3,6,357.0
135,40134210021003,3,6,357.0
136,40134210021006,3,6,357.0
137,40190046252006,1,4,357.0
138,40131074011000,9,6,357.0
139,40136124022000,7,8,357.0
140,40130101032014,6,8,357.0
141,40130101032013,6,8,357.0
142,40130101032012,6,8,357.0
143,40130101032017,6,8,357.0
144,40130101032038,6,8,357.0
145,40130101021119,8,6,357.0
146,40133188004000,3,9,357.0
147,40133188004002,3,9,357.0
148,40138174002026,1,5,357.0
149,40138174002025,1,5,357.0
150,40138174001028,1,5,357.0
151,40138151002012,3,1,357.0
152,40210003201002,3,1,357.0
153,40131083012003,9,6,357.0
156,40199800021033,4,2,357.0
157,40190024003008,2,4,357.0
158,40190003002047,4,2,349.0
164,40131042061007,6,9,349.0
166,40210014064000,2,1,349.0
167,40131125232007,9,5,349.0
168,40130405393028,8,2,349.0
169,40130405393030,8,2,349.0
170,40138148011035,3,1,349.0
172,40130506193055,9,5,349.0
173,40133197101000,3,9,349.0
174,40130820123010,9,5,349.0
175,40130820123015,9,5,349.0
176,40131092003010,9,5,349.0
177,40130304011057,8,6,349.0
178,40131036051004,7,6,349.0
179,40137233041210,5,2,349.0
181,40130822111010,9,5,349.0
182,40130405021013,8,2,349.0
183,40131121001031,5,9,349.0
184,40133197101043,3,5,349.0
185,40132168292019,6,8,349.0
186,40210003212031,3,1,349.0
187,40131096033001,9,5,349.0
191,40190003002045,4,2,349.0
192,40190037071003,4,2,349.0
193,40159548021111,2,8,349.0
194,40131148001000,5,9,349.0
195,40210017142000,2,5,349.0
196,40130405392041,8,7,349.0
197,40130405392042,8,7,349.0
198,40130405392003,8,7,349.0
199,40130927131000,5,9,349.0
200,40131084004023,6,9,349.0
201,40210003202015,3,1,349.0
202,40131148001001,5,9,349.0
203,40131148001025,5,9,349.0
204,40131148001017,5,9,349.0
205,40138101001018,3,5,349.0
206,40138101001019,3,5,349.0
207,40133197091010,3,5,349.0
208,40133197091011,3,5,349.0
209,40131060021003,9,6,349.0
211,40131036123031,7,6,349.0
212,40131112041000,9,6,349.0
213,40210022001063,1,8,349.0
214,40131100012000,5,9,349.0
215,40131100012001,5,9,349.0
217,40130506132011,5,9,349.0
218,40130610572004,5,9,349.0
219,40130610572040,5,9,349.0
220,40130506123041,9,5,349.0
221,40210014064021,2,1,349.0
222,40130101032018,6,8,349.0
224,40131041003012,7,6,349.0
226,40134205042032,6,3,349.0
227,40130405362001,7,8,349.0
229,40131097023009,5,9,349.0
230,40131125232003,9,5,349.0
231,40190043303000,4,2,342.0
232,40190043303007,4,2,337.0
