GEOID,district
4013815300,1
4013422607,1
4013422609,1
4013422610,1
4013814801,1
4013814802,1
4013422102,1
4013422103,1
4013422104,1
4013422105,1
4013422106,1
4013422107,1
4013422615,1
4013422617,1
4013422618,1
4013422620,1
4013422621,1
4013319201,1
4013421602,1
4013319202,1
4013422622,1
4013814300,1
4013422624,1
4013421601,1
4013422625,1
4013422626,1
4013422627,1
4013422628,1
4013422629,1
4013421101,1
4013422630,1
4013421102,1
4013422632,1
4013422633,1
4013422634,1
4013422636,1
4013422637,1
4013422638,1
4013422639,1
4013422640,1
4013422642,1
4013422643,1
4013422647,1
4013422648,1
4013422649,1
4013422650,1
4013422651,1
4013422652,1
4013422653,1
4013422654,1
4013422655,1
4013523007,1
4013422656,1
4013422659,1
4013422660,1
4013422657,1
4013422658,1
4013816903,1
4013420104,1
4013816904,1
4013420111,1
4013420113,1
4013420114,1
4013420115,1
4013422623,1
4013811300,1
4013815401,1
4013815402,1
4013422220,1
4013814900,1
4021000313,1
4013422203,1
4021000317,1
4021000319,1
4013814400,1
4013422209,1
4013422210,1
4013422211,1
4013319300,1
4013422212,1
4013421702,1
4013422213,1
4013422215,1
4013422216,1
4013422217,1
4013422219,1
4013422218,1
4013422221,1
4013422222,1
4013422223,1
4013422224,1
4013421201,1
4013422225,1
4013421202,1
4013422226,1
4013422227,1
4013420707,1
4013420708,1
4013420709,1
4013420710,1
4013817000,1
4013420208,1
4013420213,1
4013420214,1
4013811400,1
4013815501,1
4013815502,1
4013815000,1
4013422301,1
4013422302,1
4013319903,1
4013319904,1
4013422304,1
4013319906,1
4013422305,1
4013422307,1
4013319909,1
4013422308,1
4013814500,1
4013422309,1
4013421801,1
4013421802,1
4013319401,1
4013319402,1
4013319403,1
4013319404,1
4013421302,1
4013421303,1
4013421304,1
4013318400,1
4013817600,1
4013816600,1
4013811500,1
4013815601,1
4013815602,1
4013421701,1
4013815100,1
4013422401,1
4013422402,1
4013422403,1
4013422404,1
4013814600,1
4013319500,1
4013421901,1
4013421902,1
4021000322,1
4021000323,1
4013421400,1
4021000325,1
4013522801,1
4013522802,1
4013816200,1
4013815700,1
4013815201,1
4013815202,1
4013815203,1
4013422501,1
4013422502,1
4013422503,1
4013422504,1
4013422506,1
4013422507,1
4013814700,1
4013422508,1
4013422509,1
4013422510,1
4013422511,1
4013422001,1
4013422002,1
4013422513,1
4013422512,1
4013422514,1
4013814200,1
4013421501,1
4013319101,1
4013319103,1
4013319104,1
4013421502,1
4013421001,1
4013522901,1
4013522904,1
4013420506,1
4013816800,1
4013811700,1
4013815800,1
2,2
4013610500,2
9,2
10,2
11,2
4015952400,2
4013610001,2
4013610002,2
4015951900,2
4015951401,2
4015951403,2
4015951404,2
4015955001,2
4015955002,2
4005002301,2
4005002302,2
4015950401,2
4015950403,2
4005944900,2
4015950404,2
4013611600,2
4005001301,2
4005001302,2
4013611100,2
4013610600,2
4013610100,2
4025002100,2
4015952501,2
4015952502,2
4013614200,2
4015952001,2
4015952003,2
4015952005,2
4015952007,2
4015951501,2
4015951503,2
4015951504,2
4015950500,2
4013612200,2
4005945000,2
4013611700,2
4013611200,2
4015953602,2
4015953603,2
4015953604,2
4013610700,2
4015952600,2
4025001201,2
4015951601,2
4015951602,2
4015950601,2
4015950602,2
4015950603,2
4005945100,2
4013040534,2
4013612302,2
4025000207,2
4005002000,2
