0,1,2,3,4
0,40138153002030,1,5,243.0
2,40131104002005,5,8,243.0
3,40133199033009,5,1,243.0
5,40059451002074,7,2,243.0
6,40131171001001,5,9,243.0
7,40050013023115,2,7,243.0
8,40059451002098,7,2,243.0
9,40050013023113,2,7,243.0
10,40050013023116,2,7,243.0
11,40059451002107,7,2,243.0
12,40130820231002,8,6,243.0
13,40130820231006,8,6,243.0
14,40130820231008,8,6,243.0
15,40130820231005,8,6,243.0
16,40210014042039,5,6,243.0
17,40210021071005,6,7,243.0
18,40131107012016,5,3,243.0
19,40131116021000,5,3,243.0
21,40131032122006,9,3,243.0
22,40131032122007,9,3,243.0
23,40130610573016,8,6,243.0
25,40131125141000,6,8,243.0
26,40131125141013,6,8,243.0
27,40131032093031,9,3,243.0
30,40138154011010,1,5,243.0
31,40134210011000,1,3,243.0
32,40190046151020,4,7,243.0
33,40190026041012,4,7,243.0
35,40131032072018,3,9,243.0
36,40130927212000,9,8,243.0
38,40134202092000,1,3,243.0
39,40132168311000,9,3,243.0
40,40190044043009,4,6,243.0
41,40190044181036,4,7,243.0
42,40190044181035,4,7,243.0
43,40190026023022,7,4,243.0
44,40190013042000,4,7,243.0
45,40131117003007,3,5,243.0
48,40210002012109,7,5,243.0
50,40130715044000,8,9,243.0
51,40130715044001,8,9,243.0
52,40131065022007,3,9,243.0
53,40130820173024,8,6,243.0
54,40210003162004,5,7,243.0
55,40138168003016,1,5,243.0
56,40138168003015,1,5,243.0
59,40131125071002,6,8,243.0
60,40131125071004,6,8,243.0
61,40131071022010,9,8,243.0
64,40134207083001,1,3,243.0
65,40210019001113,6,7,243.0
66,40210003243013,1,5,243.0
67,40136140002009,2,9,243.0
68,40050013021058,2,7,243.0
69,40130304013035,7,3,243.0
71,40190014002021,7,4,243.0
72,40190005011000,4,7,243.0
73,40199408003256,6,4,243.0
74,40199408003257,6,4,243.0
75,40199408003253,6,4,243.0
76,40190040081011,7,4,243.0
77,40190040081002,7,4,243.0
79,40190044043010,4,6,243.0
80,40190044352006,6,4,243.0
81,40190020005005,4,7,243.0
82,40190020005006,4,7,243.0
83,40059451002037,7,2,243.0
84,40059451001084,2,7,241.0
85,40130506203024,6,8,241.0
86,40131117003000,3,5,241.0
87,40135229011014,5,1,241.0
88,40130405141033,2,8,236.0
90,40134202141010,1,3,236.0
91,40136147001041,3,9,236.0
93,40131138004019,3,5,236.0
94,40190004021024,7,4,236.0
95,40190035032023,7,4,236.0
96,40190043163181,4,6,236.0
97,40250016052036,7,2,236.0
98,40250016052037,7,2,236.0
99,40190040764007,4,7,236.0
100,40190046152008,7,4,236.0
101,40190046141016,4,7,236.0
102,40190045062022,4,7,236.0
103,40190045062003,4,7,236.0
106,40130931012000,8,9,214.0
109,40050015001000,7,2,214.0
110,40131166112082,5,6,214.0
111,40131166112079,5,6,214.0
112,40131166112080,5,6,214.0
113,40130405402077,2,6,214.0
116,40136147002003,9,3,214.0
118,40134202143019,3,1,214.0
119,40134202143023,3,1,214.0
121,40131172002040,5,8,214.0
122,40131152003000,8,5,214.0
123,40131152001013,5,8,214.0
126,40138159011000,5,1,214.0
127,40131118003024,8,5,214.0
129,40210013101047,6,5,214.0
