GEOID,district
40138121003006,6
40138121001023,6
40138121001020,6
40138121001022,6
40138121001024,6
40138121001014,6
40138121001000,6
40138153002030,6
40138124005000,6
40130610582056,7
40130610582034,4
40137233071001,7
40130610582055,7
40131167323008,8
40131167323006,8
40131167323007,8
40130101023054,5
40130101023055,5
40130101023034,5
40130101023047,5
40130101023052,5
40130101023095,5
40130101023048,5
40132168401011,3
40132168401014,3
40132168401006,3
40132168401015,3
40132168401005,3
40132168401012,3
40130506113000,7
40130506115023,7
40130506142029,4
40130506115024,7
40130506142032,4
40130506142035,7
40130506142033,7
40130506115009,7
40130506115017,7
40134225123008,6
40134225123013,6
40134225123011,6
40134225123007,6
40134225123017,6
40134225123015,6
40134225123000,6
40134226563002,6
40134226563012,6
40138146001000,6
40138146001007,6
40134225123018,6
40134225123014,6
40136127001000,8
40136127001001,8
40136127001002,8
40136127002002,8
40136127002004,8
40131032062009,3
40131032062005,3
40131032062007,3
40131032062003,3
40130506121017,4
40130506121023,4
40130506121021,4
40130506121018,4
40130506121037,4
40130506121027,4
40130715041003,9
40130715041005,9
40130715041002,9
40130715041001,9
40130715041006,9
40130715041004,9
40130715041007,9
40130405152010,7
40130405152022,7
40130405152246,7
40130405152245,7
40130405152247,7
40130405152016,7
40130405152012,7
40130405152021,7
40130610151009,4
40130610151006,4
40130610151000,4
40131042022004,9
40131042022005,9
40131042264018,9
40131042022003,9
40131042022008,9
40131042022006,9
40131086023001,9
40131086023007,9
40131086024008,9
40131086023008,9
40131086023006,9
40131045011000,8
40131046003017,8
40131045011001,8
40131046003016,8
40131046003015,8
40131046003014,8
40131046003018,8
40131053002004,8
40131046003024,8
40136124022013,8
40136124022014,8
40136124022018,8
40134207092030,6
40134207092014,6
40134207092031,6
40134207092013,6
40134207092012,6
40134207092015,6
40134207092024,6
40134207092025,6
40134207092026,6
40134207092027,6
40134207092028,6
40134207092029,6
40138162003008,1
40138162003001,1
40138162003000,1
40138162003003,1
40138162003009,1
40138162003005,1
40134201121000,3
40134201101043,3
40134201101033,3
40134201101032,3
40134201122015,3
40134201122025,3
40134201121009,3
40134201121008,3
40134201121005,3
40134201121002,3
40134201121003,3
40134201121004,3
40134201121001,3
40134201101044,3
40131043012016,9
40131043012015,9
40131043012014,9
40131037023000,8
40131037023002,8
40131037023003,8
40138160012017,6
40138160012022,6
40138160012008,6
40138160012024,6
40134225141000,6
40134225141004,6
40134226362006,6
40134225071000,6
40138115001012,6
40138115001029,6
40138115001028,6
40138115001027,6
40138115001011,6
40138115001031,6
40138115001030,6
40134207092033,6
40134207092032,6
40134207093000,6
40134207092034,6
40135229012011,6
40135229012012,6
40135229012013,6
40138169042038,1
40138169042022,1
40138169042020,1
40138169042040,1
40136136022017,9
40136136022014,9
40136136022012,9
40131042142016,9
40131042141006,9
40131042142013,9
40131042142015,9
40131042142017,9
40131042141014,9
40132168562017,3
40132168562013,3
40132168562010,3
40132168562011,3
40132168562018,3
40132168562014,3
40131104003000,9
40131104003009,9
40131104002004,9
40131104002005,9
40131104003019,9
40131104003020,9
40131104003008,9
40132168561017,3
40132168561010,3
40132168561014,3
40132168561016,3
40131117004012,8
40131117004013,8
40131117004000,8
40131117004014,8
40131117004017,8
40131117004018,8
40131048022014,8
40131048022007,8
40131048021009,8
40131048022013,8
40131048022011,8
40136195001003,8
40136195001005,8
40136195001008,8
40132168322008,3
40132168322001,3
40132168322010,3
40132168322009,3
40132168322000,3
40132168333011,3
40132168322012,3
40132168322007,3
40131032161008,3
40131032161006,3
40131032161007,3
40131032161009,3
40131033024009,8
40131033024010,8
40131033024005,8
40131033024000,8
40131033024003,8
40131033024011,8
40131035012014,8
40131035012013,8
40130101032089,5
40130101032087,5
40130101032088,5
40130101032036,5
40130101032035,5
40130101032090,5
40130101032097,5
40131059001000,9
40131056012017,9
40131056012018,8
40131060011003,8
40131060011004,9
40131059001001,9
40136105002025,8
40136105002014,8
40136105002015,8
40136105002016,8
40136106001000,8
40131118004001,9
40131118004002,9
40131118004003,9
40131118004005,9
40210021051012,2
40210021051015,2
40210021051016,2
40210021051018,2
40210021051014,2
40210021041037,2
40210021041038,2
40210021041027,2
40210021041036,2
40210021041021,2
40134203031027,3
40134203031006,3
40134203031007,3
40134203031002,3
40134203031000,3
40134203031009,3
40131104004010,9
40131104004003,9
40131104004009,9
40131104004011,9
40131170001004,9
40131125182042,4
40131125182043,4
40131125182040,4
40131125182048,4
40131125182047,4
40131125182044,4
40138155012024,6
40138155012016,6
40138155012012,6
40138155012022,6
40138155012025,6
40138155012021,6
40134202131065,6
40134202131066,6
40134202131000,6
40134202142007,3
40134202142008,3
40134202142009,3
40134202131002,6
40138124004016,6
40138124004000,6
40138124002005,6
40138124004003,6
40138124004001,6
40130610411010,4
40130610411011,4
40130610411000,9
40130610411009,4
40130610411001,4
40130822063002,4
40130822063003,4
40130822063001,4
40130822063004,4
40130822063008,4
40131044011027,8
40131044011013,8
40131044011026,8
40131044011029,8
40131044011028,8
40131050032041,3
40131050032007,3
40131050032040,3
40131114022017,8
40131114022021,8
40131114022016,8
40131114022022,8
40131136013002,8
40131114022020,8
40134226092010,6
40134226092006,6
40134226092008,6
40134226092000,6
40134226091015,6
40134226091016,6
40134226091026,6
40134226092015,6
40134226092011,6
40131161003004,3
40131161003005,3
40131161003006,3
40131161003008,3
40131161003010,3
40134225013000,6
40134225013010,6
40134225014002,6
40134225013011,6
40134225013004,6
40134225033009,6
40134225033010,6
40134225033000,6
40134225033007,6
40130609013024,4
40130609013004,4
40130609013005,4
40130609013003,4
40132168221013,5
40132168221031,5
40132168221006,5
40136166001002,8
40136166001003,8
40136166001001,8
40136166001007,8
40136166003013,8
40136166003007,8
40136166003008,8
40136166003014,8
40131032062024,3
40131032062021,3
40131032062025,3
40131032062023,3
40131042172002,9
40131042172004,9
40131042172003,9
40131042172012,9
