0,1,2,3,4
0,40130610582056,4,7,343.0
1,40130610582055,4,7,343.0
3,40130506142035,4,7,343.0
4,40130506142033,4,7,343.0
5,40131042022005,9,8,343.0
6,40131056012017,8,9,343.0
7,40134202131065,6,3,343.0
8,40134202131000,6,3,343.0
9,40130610411000,4,9,343.0
10,40134209012015,3,6,343.0
11,40134201081042,5,3,343.0
12,40133199033009,3,6,343.0
13,40134226404039,3,6,343.0
14,40059451002075,5,7,343.0
15,40059451002074,5,7,343.0
16,40059451002076,5,7,343.0
17,40131051012016,8,3,343.0
18,40131051012017,8,3,343.0
19,40131051012030,8,3,343.0
20,40131051012019,8,3,343.0
21,40131051012015,8,3,343.0
22,40138128012013,6,1,343.0
23,40138128012017,6,1,343.0
24,40050013023115,7,5,343.0
25,40059451002098,5,7,343.0
26,40050013023113,7,5,343.0
27,40050013023114,7,5,343.0
28,40050013023116,7,5,343.0
29,40059451002107,5,7,343.0
30,40131166161013,8,9,343.0
32,40132168301011,3,8,343.0
33,40132168301010,3,8,343.0
34,40131051033037,8,3,343.0
35,40130405272042,4,7,343.0
36,40130405271012,7,4,343.0
37,40130405272033,4,7,343.0
38,40131112014009,8,3,343.0
39,40136108002049,7,9,343.0
40,40136144003003,9,8,343.0
41,40136144003002,9,8,343.0
42,40136144003000,9,8,343.0
43,40210021071005,2,1,343.0
44,40131166204001,7,4,343.0
45,40130405395000,4,9,343.0
46,40131086022004,8,9,343.0
47,40136100022069,8,7,343.0
48,40136100022068,8,7,343.0
49,40138130001036,1,2,343.0
50,40131042054006,9,8,343.0
51,40134210021001,6,3,343.0
57,40136143001015,8,9,343.0
58,40138131001001,1,6,343.0
59,40131129004001,8,9,343.0
60,40131129004002,8,9,343.0
61,40138104003001,6,7,343.0
63,40131167271000,7,8,343.0
64,40136107002038,5,8,343.0
65,40130506132055,4,7,343.0
66,40210020013002,2,1,343.0
67,40210003112036,1,3,343.0
68,40138104001000,6,7,343.0
69,40190020002003,5,1,343.0
75,40190041181075,5,2,343.0
76,40190018012000,1,5,343.0
78,40210020041004,2,1,343.0
79,40131167111000,6,7,343.0
80,40131044012004,8,9,343.0
81,40133197071004,3,7,343.0
82,40131167103010,7,6,343.0
83,40131129004008,8,9,343.0
84,40138104002000,6,7,343.0
85,40130610421000,4,9,343.0
86,40130927111019,9,4,343.0
87,40130405383043,4,7,343.0
88,40136143001007,8,9,343.0
89,40133199041028,3,6,343.0
90,40130405351000,9,7,343.0
91,40130506142025,4,7,343.0
92,40210008021203,1,2,343.0
93,40210008021202,1,2,343.0
94,40210019001113,2,1,343.0
95,40050013021058,7,5,343.0
97,40250016053054,5,7,343.0
98,40190040732008,2,5,343.0
99,40190022021018,1,5,343.0
103,40134202082022,3,6,343.0
104,40059451002037,5,7,343.0
105,40130405272024,4,7,343.0
106,40130506131031,4,7,343.0
107,40059451001084,7,5,343.0
108,40131095001024,9,4,343.0
109,40130610591017,4,7,343.0
110,40134201071015,5,3,343.0
111,40134201071024,5,3,343.0
112,40131167132011,7,6,343.0
114,40138104001015,6,7,343.0
115,40130506042116,7,2,343.0
116,40130506042113,7,2,335.0
117,40130101043011,3,5,335.0
118,40131138006002,3,8,335.0
119,40199804001000,1,2,335.0
121,40190046181000,1,5,335.0
122,40190046172005,1,5,335.0
123,40190046183000,1,5,335.0
124,40190054001011,1,2,335.0
125,40190046141016,1,5,335.0
126,40131112012002,8,3,335.0
127,40134205042019,3,6,335.0
128,40050015001008,5,7,335.0
129,40050015001000,5,7,335.0
130,40131166112082,8,7,335.0
131,40131166112079,8,7,335.0
132,40131166112080,8,7,335.0
133,40133197071009,3,8,335.0
134,40133197081003,3,8,335.0
135,40133197071008,3,8,335.0
136,40131166161021,8,9,335.0
137,40131084004013,3,8,335.0
138,40131138007000,3,8,335.0
139,40210020013000,2,1,335.0
140,40131167152001,7,8,335.0
141,40131167152000,7,8,335.0
142,40131167152003,7,8,335.0
143,40131130002024,9,8,335.0
144,40131130002025,9,8,335.0
145,40131130002028,9,8,335.0
146,40210022001091,1,5,335.0
147,40133200074024,3,7,335.0
148,40138159023000,1,6,335.0
149,40131095003003,9,4,335.0
150,40134226253004,6,3,335.0
151,40134202144034,3,6,335.0
152,40134226253003,6,3,335.0
153,40130405391037,7,4,335.0
154,40130405391038,7,4,335.0
156,40250014011000,5,7,335.0
157,40250014011002,5,7,335.0
158,40250014011001,5,7,335.0
159,40250014022062,7,5,335.0
160,40250014022063,7,5,335.0
161,40250014022083,7,5,335.0
168,40190040622025,2,5,335.0
171,40190040731002,5,2,328.0
178,40159548024518,7,2,328.0
179,40159548024517,7,2,328.0
180,40159548024519,7,2,328.0
182,40136182002014,9,8,328.0
183,40136182002015,9,8,328.0
184,40136183001004,8,9,328.0
185,40136181001000,9,8,328.0
186,40139413002037,3,5,328.0
188,40131032093010,8,3,328.0
189,40131032093011,8,3,328.0
190,40131032091000,8,3,328.0
192,40131144021008,9,8,328.0
193,40138100001038,7,6,328.0
194,40130609042000,4,9,328.0
195,40138174001028,6,2,328.0
197,40134226322020,3,6,328.0
198,40131130002026,9,8,328.0
199,40131166121041,8,4,328.0
200,40210024003039,5,1,328.0
202,40131056012013,8,9,328.0
204,40134226261025,3,6,328.0
207,40131166112078,8,7,328.0
208,40130405141000,4,9,328.0
209,40130405063009,4,9,328.0
210,40130405063010,4,9,328.0
211,40130405251027,7,4,328.0
212,40131166121032,8,4,328.0
213,40131166121031,8,4,328.0
214,40131166121033,8,4,328.0
215,40130610612017,4,7,328.0
216,40134202142023,3,6,328.0
217,40133200021010,7,8,328.0
218,40136107004000,8,5,328.0
220,40138148011035,6,1,328.0
221,40138148022000,6,1,328.0
222,40138175001004,2,6,328.0
225,40130506193047,4,7,328.0
226,40130405391024,7,4,328.0
227,40130405391036,7,4,328.0
228,40131173002001,8,9,328.0
229,40131173002002,8,9,328.0
230,40131173002003,8,9,328.0
231,40219413001023,2,7,328.0
232,40134226321006,6,3,328.0
233,40130304011057,5,8,328.0
234,40131130002027,9,8,328.0
235,40130608014031,4,9,328.0
236,40133199041032,3,6,328.0
238,40131084005000,8,3,328.0
239,40190038011029,5,2,328.0
241,40190046183012,1,5,328.0
242,40190046183013,1,5,328.0
243,40190046183014,1,5,328.0
244,40190011001004,2,1,328.0
245,40190003002045,2,1,328.0
246,40130405251028,7,4,328.0
